subject,gvs,gvs_label,mean_inv_rt_low,mean_inv_rt_high,median_inv_rt_low,median_inv_rt_high,n_low,n_high,delta_inv_rt_high_minus_low,percent_change_high_vs_low
PSPD003,4,GVS4,0.33,0.31141176470588233,0.315,0.307,17,17,-0.018588235294117683,-5.632798573975055
PSPD003,5,GVS5,0.3472352941176471,0.322125,0.339,0.309,17,16,-0.025110294117647092,-7.231492461460284
PSPD003,6,GVS6,0.31141176470588233,0.3163529411764706,0.305,0.303,17,17,0.004941176470588282,1.5867019267094975
PSPD003,7,GVS7,0.32835294117647057,0.31976470588235295,0.311,0.313,17,17,-0.008588235294117619,-2.6155499820852657
PSPD003,8,GVS8,0.31233333333333335,0.3298888888888889,0.31,0.3115,18,18,0.017555555555555546,5.620775524724294
PSPD003,9,GVS9,0.3245,0.3468823529411765,0.3215,0.322,18,17,0.022382352941176464,6.897489350131421
PSPD004,1,Sham,0.35870588235294115,0.3198888888888889,0.321,0.317,17,18,-0.03881699346405226,-10.821398637075903
PSPD004,2,GVS2,0.334,0.3413529411764706,0.3145,0.318,14,17,0.007352941176470562,2.2014793941528628
PSPD004,3,GVS3,0.358375,0.3542222222222222,0.3175,0.3385,16,18,-0.004152777777777783,-1.1587799868232391
PSPD004,4,GVS4,0.327625,0.33905555555555555,0.3285,0.3245,16,18,0.011430555555555555,3.488914324473271
PSPD004,5,GVS5,0.34711764705882353,0.32944444444444443,0.35,0.3145,17,18,-0.017673202614379102,-5.091415767572356
PSPD004,6,GVS6,0.3449375,0.3073888888888889,0.34450000000000003,0.318,16,18,-0.03754861111111113,-10.8856274284794
PSPD004,7,GVS7,0.3164285714285714,0.3223888888888889,0.315,0.311,14,18,0.005960317460317499,1.883621770754966
PSPD004,8,GVS8,0.34270588235294114,0.32511111111111113,0.338,0.3225,17,18,-0.01759477124183001,-5.134073311210268
PSPD004,9,GVS9,0.3131111111111111,0.31272222222222223,0.3055,0.315,18,18,-0.00038888888888888307,-0.12420156139105562
PSPD007,1,Sham,0.4771176470588236,0.47344444444444445,0.469,0.4660000000000001,17,18,-0.003673202614379145,-0.7698735599117922
PSPD007,2,GVS2,0.49252941176470594,0.4616470588235294,0.47000000000000003,0.447,17,17,-0.030882352941176527,-6.2701540666427915
PSPD007,3,GVS3,0.5395,0.4955555555555555,0.5125,0.448,18,18,-0.04394444444444445,-8.145402121305738
PSPD007,4,GVS4,0.5014117647058823,0.4993333333333333,0.454,0.478,17,18,-0.002078431372549039,-0.4145158767401884
PSPD007,5,GVS5,0.45076470588235296,0.48305555555555557,0.439,0.4570000000000001,17,18,0.032290849673202615,7.1635709832238605
PSPD007,6,GVS6,0.482,0.5224444444444445,0.46900000000000003,0.481,18,18,0.040444444444444505,8.390963577685582
PSPD007,7,GVS7,0.5041666666666668,0.4958888888888889,0.47200000000000003,0.457,18,18,-0.008277777777777884,-1.6418732782369354
PSPD007,8,GVS8,0.5041666666666667,0.45066666666666666,0.49249999999999994,0.44349999999999995,18,18,-0.05349999999999999,-10.611570247933884
PSPD007,9,GVS9,0.4747333333333333,0.5105882352941177,0.438,0.477,15,17,0.03585490196078439,7.55264049166923
PSPD009,1,Sham,0.3986111111111111,0.3815555555555556,0.3815,0.36550000000000005,18,18,-0.01705555555555549,-4.2787456445992875
PSPD009,2,GVS2,0.37527777777777777,0.3660555555555556,0.392,0.3505,18,18,-0.009222222222222187,-2.457438934122863
PSPD009,3,GVS3,0.3461666666666667,0.3451666666666667,0.33299999999999996,0.3605,18,18,-0.0010000000000000009,-0.28887818969667817
PSPD009,4,GVS4,0.38476470588235295,0.36633333333333334,0.391,0.3845,17,18,-0.01843137254901961,-4.790297100341436
PSPD009,5,GVS5,0.38761111111111113,0.35988888888888887,0.3975,0.3335,18,18,-0.02772222222222226,-7.152071090726682
PSPD009,6,GVS6,0.3813888888888889,0.3566111111111111,0.3845,0.357,18,18,-0.024777777777777787,-6.496722505462493
PSPD009,7,GVS7,0.36770588235294116,0.3562777777777778,0.36299999999999993,0.3365,17,18,-0.011428104575163356,-3.1079471728967696
PSPD009,8,GVS8,0.3967222222222222,0.36038888888888887,0.405,0.345,18,18,-0.03633333333333333,-9.158381179106566
PSPD009,9,GVS9,0.3556666666666667,0.34270588235294114,0.344,0.347,18,17,-0.012960784313725549,-3.6440818126688512
PSPD010,1,Sham,0.347,0.34955555555555556,0.338,0.33999999999999997,17,18,0.0025555555555555887,0.7364713416586711
PSPD010,2,GVS2,0.35677777777777775,0.34611111111111115,0.346,0.3415,18,18,-0.010666666666666602,-2.9897228277794903
